Column1;Rank;Mark;Competitor;DOB;Nat;Pos;Unnamed: 6;Venue;Date;Results Score
6;707;27:53.95;Kenta OSHIMA;29/06/1979;JPN;4;;Niigata (JPN);22/05/2004;1141
7;707;27:53.95;Evans YEGO;05/09/1995;KEN;13f8;;Kamiyugi Park Athletic Stadium, Hachioji (JPN);21/11/2020;1141
8;709;27:54.06;Yuhi NAKAYA;11/06/1999;JPN;2f1;;Nagai Stadium, Osaka (JPN);04/12/2020;1141
9;710;27:54.11;Dmitriy MAKSIMOV;06/05/1977;RUS;6;;Camaiore (ITA);06/04/2002;1141
10;711;27:54.15;Harry SUMMERS;19/05/1990;AUS;2f1;;Kristiansand (NOR);31/08/2019;1141
11;712;27:54.18;Toomas TURB;31/01/1957;URS;6;;Stadio Olimpico, Roma (ITA);04/09/1981;1141
12;713;27:54.19;Doug BROWN;01/03/1952;USA;3;;Stockholm (SWE);03/07/1978;1141
13;714;27:54.2;Wilfred KIMITEI;11/03/1985;KEN;2;;Nairobi (KEN);28/05/2016;1141
14;715;27:54.23;Rachid BERRADI;29/08/1975;ITA;1;;Nembro (ITA);25/07/2000;1141
15;716;27:54.25;Shinobu KUBOTA;12/12/1991;JPN;8f1;;Tokyo (JPN);29/11/2014;1141
16;716;27:54.25;Jason WITT;09/12/1989;USA;9f1;;Palo Alto, CA (USA);02/05/2015;1141
17;718;27:54.28;Kiplimo MUNERIA;28/08/1983;KEN;3;;Stadion Juliska, Praha (CZE);17/06/2002;1141
18;719;27:54.29;Markus RYFFEL;05/02/1955;SUI;2;;Lausanne (SUI);10/07/1985;1141
19;720;27:54.33;Rolando VERA;27/04/1965;ECU;7;;Bruxelles (BEL);19/08/1988;1141
20;720;27:54.33;Lahcen BENYOUSSEF;01/01/1972;MAR;13;;Bruxelles (BEL);28/08/1998;1141
21;722;27:54.41;Josh ROHATINSKY;07/03/1982;USA;5;;Eugene, OR (USA);04/07/2008;1140
22;723;27:54.42;Michitaka HOSOKAWA;26/04/1976;JPN;5;;Niigata (JPN);22/05/2004;1140
23;724;27:54.43;Pekka PÄIVÄRINTA;04/05/1949;FIN;2;;Helsinki (FIN);23/06/1976;1140
24;725;27:54.53;Isaac GARCÍA;29/10/1960;MEX;5;;Burnaby (CAN);31/05/1992;1140
25;726;27:54.6;Charles MUNERIA;10/02/1996;KEN;2;;Nairobi (KEN);11/07/2015;1140
26;727;27:54.69;Mohamed GAMMOUDI;11/02/1938;TUN;1h2;;Olympiastadion, München (GER);31/08/1972;1140
27;728;27:54.76;Carsten JÖRGENSEN;25/10/1970;DEN;11;;Lisboa (POR);04/04/1998;1140
28;729;27:54.93;Brett CARTWRIGHT;25/01/1973;AUS;3;;Inglewood (NZL);21/01/2002;1140
29;730;27:54.98;Parker STINSON;03/03/1992;USA;10f1;;Palo Alto, CA (USA);02/05/2015;1140
30;731;27:55.0;Joaquim PINHEIRO;20/12/1960;POR;2;;Maia (POR);20/07/1994;1140
31;732;27:55.05;Yutaka KANAI;16/10/1959;JPN;11;;Stockholm (SWE);02/07/1985;1139
32;733;27:55.06;Ross MILLINGTON;19/09/1989;GBR;6;;Leiden (NED);11/06/2016;1139
33;734;27:55.07;Tonny OKELLO;26/12/1983;UGA;11f1;;Palo Alto, CA (USA);28/04/2013;1139
34;735;27:55.16;Jun HIRATSUKA;08/01/1969;JPN;5;;Osaka (JPN);08/06/1996;1139
35;736;27:55.17;Valeriy ABRAMOV;22/08/1956;URS;1;;Moskva (URS);17/08/1984;1139
36;736;27:55.17;Nicholas ROGERS;02/05/1975;USA;4;;Palo Alto, CA (USA);05/05/2000;1139
37;736;27:55.17;Kazuhiro MAEDA;19/04/1981;JPN;2;;Yokohama (JPN);02/12/2007;1139
38;736;27:55.17;Stephen Omiso ARITA;26/06/1988;KEN;9;;Nairobi (KEN);01/08/2015;1139
39;740;27:55.19;Christopher LANDRY;29/04/1986;USA;11f1;;Palo Alto, CA (USA);02/05/2015;1139
40;741;27:55.21;Faisa Dame TASAMA;12/10/1987;ETH;9f1;;Palo Alto, CA (USA);04/05/2014;1139
41;742;27:55.23;Jim HILL;01/07/1961;USA;1;;Eugene, OR (USA);09/04/1983;1139
42;743;27:55.30;Gilbert KOECH;01/01/1981;KEN;8;;Ostrava (CZE);08/06/2004;1139
43;744;27:55.40;Hiroyuki YAMAMOTO;30/04/1986;JPN;16f7;;Hachioji (JPN);28/11/2015;1139
44;744;27:55.40;Alex CHERONO;30/12/2000;KEN;5f3;;Tajimi (JPN);09/10/2020;1139
45;746;27:55.50;Jörg PETER;23/10/1955;GDR;1;;Helsinki (FIN);13/08/1977;1139
46;747;27:55.56;Andre POLLMÄCHER;22/03/1983;GER;10;;Neerpelt (BEL);02/06/2007;1139
47;748;27:55.59;Naoki OTA;13/10/1999;JPN;3f1;;Nagai Stadium, Osaka (JPN);04/12/2020;1139
48;749;27:55.66;Steve BINNS;25/08/1960;GBR;5;;Oslo (NOR);09/07/1983;1139
49;750;27:55.72;Victor MORA;24/11/1944;COL;2;;München (GER);29/05/1976;1138
50;751;27:55.74;Jonny DANIELSSON;04/09/1964;SWE;1;;Södertälje (SWE);07/06/1989;1138
51;752;27:55.77;David CLARKE;01/01/1958;GBR;1;;Firenze (ITA);25/05/1982;1138
52;753;27:55.82;Noel BERKELEY;02/11/1964;IRL;7;;Burnaby (CAN);31/05/1992;1138
53;754;27:55.85;Tadesse FEYISSA;01/01/1981;ETH;13;;Bruxelles (BEL);25/08/2000;1138
54;755;27:55.87;Lesiba Precious MASHELE;13/10/1990;RSA;1;;Kings Park Athletics Stadium, Durban (RSA);26/03/2021;1138
55;756;27:55.92;Stephen KOECH;16/12/1976;KEN;11;;Boudewijnstadion, Bruxelles (BEL);26/08/2005;1138
56;756;27:55.92;Olivier IRABARUTA;25/08/1990;BDI;1f4;;Fucecchio (ITA);09/04/2016;1138
57;758;27:55.95;Francois BARRER;08/06/1993;FRA;3;;Palo Alto, CA (USA);03/05/2018;1138
58;759;27:56.0;Francisco PACHECO;10/10/1961;MEX;3;;Walnut, CA (USA);26/04/1986;1138
59;760;27:56.05;Kenji TAKAO;23/03/1975;JPN;4;;Tokyo (JPN);10/06/1995;1138
60;761;27:56.06;Ryszard KOPIJASZ;08/02/1952;POL;4;;Stockholm (SWE);03/07/1978;1138
61;762;27:56.10;Herder VASQUEZ;20/06/1967;COL;8;;Vancouver (CAN);30/05/1992;1138
62;763;27:56.11;Garrett HEATH;03/11/1985;USA;4;;Palo Alto, CA (USA);03/05/2018;1138
63;764;27:56.12;Moses KIBET;23/03/1991;UGA;4;;Maia (POR);02/06/2018;1138
64;765;27:56.2;Knut BØRØ;28/09/1949;NOR;1;;Oslo (NOR);24/06/1975;1138
65;766;27:56.20;Alemu BEKELE;23/03/1990;BRN;13;;Blankers-Koen Stadion, Hengelo (NED);27/05/2012;1138
66;767;27:56.21;Lameck AGUTA;10/10/1971;KEN;12;;Oslo (NOR);04/07/1992;1138
67;768;27:56.26;Rashid SHARAFYETDINOV;10/07/1943;URS;3;;Helsinki (FIN);10/08/1971;1138
68;768;27:56.26;Yevgeni IGNATOV;25/06/1959;BUL;10;;Oslo (NOR);02/07/1988;1138
69;770;27:56.27;Hiroto INOUE;06/01/1993;JPN;2f6;;Machida (JPN);24/11/2018;1138
70;771;27:56.29;Takuya FUKATSU;10/11/1987;JPN;8f2;;Niigata (JPN);24/09/2010;1138
71;772;27:56.30;José RAMOS;28/07/1968;POR;10h2;;Olympic Stadium, Sydney (AUS);22/09/2000;1138
72;773;27:56.34;Sean DOLLMAN;08/12/1968;IRL;13;;Oslo (NOR);04/07/1992;1137
73;774;27:56.45;Hiroki ABE;19/11/1997;JPN;3f6;;Machida (JPN);24/11/2018;1137
74;775;27:56.46;Yusuke TAKABAYASHI;19/07/1987;JPN;8f2;;Fukuroi (JPN);16/10/2010;1137
75;776;27:56.47;Dominic NYAIRO;22/08/1997;KEN;3f1;;Kobe (JPN);23/04/2016;1137
76;777;27:56.48;Hassan CHANI;05/05/1988;BRN;5;;Herzogenaurach (GER);13/05/2016;1137
77;778;27:56.49;Tomoki OTA;17/10/1997;JPN;2;;Universiade Commemorative Stadium, Kobe (JPN);25/04/2021;1137
78;779;27:56.55;Titus Kwemoi MASAI;09/10/1989;KEN;6;;Villeneuve d'Ascq (FRA);30/06/2009;1137
79;780;27:56.56;Mats ERIXON;19/03/1958;SWE;3;;Firenze (ITA);25/05/1982;1137
80;781;27:56.62;Luke PUSKEDRA;08/02/1990;USA;8;;Hayward Field, Eugene, OR (USA);22/06/2012;1137
81;782;27:56.63;Cyrus Gichobi NJUI;11/02/1986;KEN;8;;Kobe (JPN);22/04/2007;1137
82;783;27:56.65;Simone ZANON;30/05/1975;ITA;10;;Barakaldo (ESP);10/04/1999;1137
83;784;27:56.67;Robert KAJUGA;01/01/1985;RWA;14;;Olympic Stadium, London (GBR);04/08/2012;1137
84;785;27:56.74;José GÓMEZ;19/03/1956;MEX;1;;Eugene, OR (USA);04/06/1983;1137
85;785;27:56.74;Francesco BENNICI;03/10/1971;ITA;1;;Palermo (ITA);12/05/1992;1137
86;787;27:56.75;Karel LISMONT;08/03/1949;BEL;3;;München (GER);29/05/1976;1137
87;787;27:56.75;Ravil KASHAPOV;15/11/1956;URS;2;;Leningrad (URS);11/06/1988;1137
88;789;27:56.78;Andrew BUMBALOUGH;14/03/1987;USA;13f1;;Palo Alto, CA (USA);28/04/2013;1137
89;789;27:56.78;Yusuke NISHIYAMA;07/11/1994;JPN;6f3;;Tajimi (JPN);09/10/2020;1137
90;791;27:56.8;Paul MCCLOY;06/11/1963;CAN;5;;Walnut, CA (USA);26/04/1986;1137
91;792;27:56.80;Jonathan WYATT;20/12/1972;NZL;3;;Inglewood (NZL);15/02/2003;1137
92;793;27:56.86;William KOECH;02/12/1961;KEN;2;;Cairo (EGY);22/09/1991;1137
93;793;27:56.86;Atsushi SATO;08/05/1978;JPN;4;;Niigata (JPN);25/09/2004;1137
94;795;27:56.90;Clint WELLS;02/05/1975;USA;7;;Palo Alto, CA (USA);03/05/2002;1137
95;796;27:56.9;Gladwin Sibabalwe MZAZI;28/08/1988;RSA;2;;Stellenbosch (RSA);25/04/2015;1137
96;797;27:56.92;Reid COOLSAET;29/07/1979;CAN;15;;Palo Alto, CA (USA);29/04/2007;1137
97;798;27:56.98;Mogos SHUMAY;01/01/1997;ERI;8f1;;Palo Alto, CA (USA);01/05/2016;1136
98;799;27:57.0;Richard JUMA;19/07/1945;KEN;3;;Christchurch (NZL);25/01/1974;1136
99;800;27:57.02;Sakee OSAKI;18/08/1964;JPN;5;;Tokyo (JPN);10/06/1995;1136
0;801;27:57.11;Martin TOROITICH;10/08/1983;UGA;5;;Pergine Valsugana (ITA);12/07/2008;1136
1;802;27:57.15;Yuki MUTA;26/05/1993;JPN;1;;NITTAIDAI Athletic Stadium, Yokohama (JPN);10/04/2021;1136
2;803;27:57.19;Solomon WACHIRA;05/11/1976;KEN;3;;Sendai (JPN);07/10/2000;1136
3;804;27:57.23;Andrew LEMONCELLO;12/10/1982;GBR;7;;Berkeley, CA (USA);24/04/2009;1136
4;805;27:57.34;Andrew LLOYD;14/02/1959;AUS;1;;Melbourne (AUS);12/12/1987;1136
5;805;27:57.34;Cuthbert NYASANGO;17/09/1982;ZIM;2;;Avilés (ESP);28/07/2007;1136
6;807;27:57.36;Charles NDUNGU;20/02/1996;KEN;5f1;;Kobe (JPN);23/04/2016;1136
7;807;27:57.36;Keijiro MOGI;21/10/1995;JPN;11f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1136
8;809;27:57.47;Enoch SKOSANA;20/02/1974;RSA;2;;Port Elizabeth (RSA);22/02/1999;1136
9;810;27:57.5;Matthews TEMANE;14/12/1960;RSA;1;;Stellenbosch (RSA);05/10/1989;1136
10;811;27:57.53;Cornelius LAMBREGTS;04/08/1958;NED;3;;Aachen (GER);30/05/1986;1136
11;812;27:57.60;Ben CONNOR;17/10/1992;GBR;3f1;;London (GBR);06/07/2019;1136
12;813;27:57.68;Axel KRIPPSCHOCK;05/02/1962;GDR;13;;Oslo (NOR);02/07/1988;1135
13;814;27:57.7;Tekele FETINSA;13/12/1945;ETH;4;;Moskva (URS);12/06/1980;1135
14;815;27:57.72;Mande BUSHENDICH;07/04/1997;UGA;8;;Nijmegen (NED);15/06/2019;1135
15;816;27:57.74;Yoji YAMAGUCHI;12/06/1975;JPN;8;;Palo Alto, CA (USA);03/05/2002;1135
16;817;27:57.77;Ian HAMER;18/04/1965;GBR;3;;Bruxelles (BEL);13/09/1991;1135
17;818;27:57.81;Laban KAGIKA;17/07/1978;KEN;4;;Sendai (JPN);07/10/2000;1135
18;819;27:57.83;Rodolfo GÓMEZ;30/10/1950;MEX;7;;Oslo (NOR);09/07/1983;1135
19;820;27:57.84;Tendai CHIMUSASA;28/01/1971;ZIM;3;;Hengelo (NED);20/06/1993;1135
20;821;27:57.85;Alberto JUZDADO;20/08/1966;ESP;4;;Barakaldo (ESP);01/07/1998;1135
21;821;27:57.85;Hiroyuki ONO;03/10/1986;JPN;2f1;;Abashiri (JPN);16/07/2015;1135
22;823;27:57.89;Girma BERHANU;19/07/1960;ETH;2;;Bratislava (TCH);26/05/1984;1135
23;824;27:57.98;Henrik JØRGENSEN;10/10/1961;DEN;12;;Stockholm (SWE);02/07/1985;1135
24;824;27:57.98;Henry KIPCHIRCHIR;31/05/1983;KEN;5;;Stadion Juliska, Praha (CZE);27/06/2005;1135
25;826;27:58.01;Frank O'MARA;17/07/1960;IRL;1;;Walnut, CA (USA);20/04/1991;1135
26;827;27:58.02;Brad HAUSER;28/03/1977;USA;9;;Palo Alto, CA (USA);03/05/2002;1135
27;827;27:58.02;Charles NDIRANGU;08/02/1993;KEN;1f2;;Kobe (JPN);21/04/2012;1135
28;829;27:58.03;Khoudir AGGOUNE;05/01/1981;ALG;4f1;;St-Maur (FRA);06/06/2008;1135
29;829;27:58.03;Yuki IWAI;30/12/1982;JPN;4f1;;Fugokawa (JPN);10/06/2009;1135
30;829;27:58.03;Stephen KIPROTICH;27/02/1989;UGA;1;;Birmingham (GBR);25/06/2010;1135
31;832;27:58.04;Fred KOSGEI;14/04/1977;KEN;;;St-Maur (FRA);16/06/2006;1135
32;833;27:58.09;Joseph GITAU;03/01/1988;KEN;3f1;;Yamagata (JPN);26/09/2008;1135
33;834;27:58.17;Hicham BELLANI;15/09/1979;MAR;1;;Rabat (MAR);11/07/2011;1135
34;834;27:58.17;Selemun KAHSAY;;ETH;18;;Hengelo (NED);17/07/2019;1135
35;836;27:58.22;Yitwale KINDE;01/01/1991;ETH;11;;Hengelo (NED);29/06/2016;1135
36;837;27:58.33;Edwin KURGAT;;KEN;2;;Hayward Field, Eugene, OR (USA);02/04/2021;1134
37;838;27:58.38;Danijel KORICA;10/06/1945;YUG;4;;Helsinki (FIN);10/08/1971;1134
38;839;27:58.40;Ken YOKOTE;27/04/1993;JPN;3f1;;Abashiri (JPN);16/07/2015;1134
39;839;27:58.40;Tatsuya OIKE;18/05/1990;JPN;12f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1134
40;841;27:58.41;Gerard DONAKOWSKI;20/02/1960;USA;12;;Oslo (NOR);05/07/1986;1134
41;841;27:58.41;Hosea Mwok MACHARINYANG;12/06/1986;KEN;1;;Bilbao (ESP);23/06/2007;1134
42;843;27:58.43;Yudai OKAMOTO;29/12/1991;JPN;2;;Egao Kenko Stadium, Kumamoto (JPN);10/04/2021;1134
43;844;27:58.46;Simon MALIBENG;28/08/1962;RSA;2;;Port Elizabeth (RSA);12/12/1987;1134
44;845;27:58.47;Nozomi SAHO;06/03/1973;JPN;1;;Kumamoto (JPN);04/04/1993;1134
45;846;27:58.48;Martin FAGAN;26/06/1983;IRL;8;;Berkeley, CA (USA);24/04/2009;1134
46;847;27:58.52;Yohei IKEDA;22/06/1998;JPN;13f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1134
47;848;27:58.56;Stanley Kipkoech KEBENEI;06/11/1989;USA;8;;Palo Alto, CA (USA);05/05/2017;1134
48;849;27:58.58;Joseph Kiptoo BIRECH;04/01/1984;KEN;3;;New Delhi (IND);11/10/2010;1134
49;850;27:58.59;Mahieddine BELHADJ;20/01/1963;ALG;11;;Bruxelles (BEL);03/09/1993;1134
50;851;27:58.6;Nikolay SVIRIDOV;06/07/1938;URS;1f1;;Moskva (URS);10/07/1973;1134
51;852;27:58.63;Yuto AOKI;27/04/1997;JPN;14f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1134
52;853;27:58.67;Reid BUCHANAN;03/02/1993;USA;5;;Palo Alto, CA (USA);02/05/2019;1134
53;854;27:58.70;Lars-Erik NILSSON;01/02/1961;SWE;4;;Aachen (GER);30/05/1986;1134
54;855;27:58.72;Haruo URATA;09/03/1962;JPN;12;;Oslo (NOR);06/07/1991;1134
55;856;27:58.76;Manuel Ángel PENAS;09/11/1977;ESP;3;;Avilés (ESP);18/07/2009;1134
56;857;27:58.8;John NGENO;11/04/1953;KEN;1;;Berlin (GER);26/08/1977;1134
57;858;27:58.84;Peter LANGAT;20/10/1998;KEN;4f1;;Abashiri (JPN);22/07/2019;1134
58;859;27:58.87;Takuya FUJIKAWA;17/12/1992;JPN;4f6;;Machida (JPN);24/11/2018;1134
59;860;27:58.9;Anatoliy BADRANKOV;02/04/1941;URS;1;;Tashkent (UZB);03/11/1978;1134
60;861;27:58.93;Jackson GACHIURI;15/04/1977;KEN;4;;Kobe (JPN);28/04/2002;1133
61;862;27:58.97;Brett ROBINSON;08/05/1991;AUS;9;;Nijmegen (NED);15/06/2019;1133
62;863;27:59.1;Thom HUNT;17/03/1958;USA;5;;Walnut, CA (USA);24/04/1982;1133
63;864;27:59.10;Mike FOPPEN;29/11/1996;NED;1;;Sportcomplex De Leidse Hout, Leiden (NED);19/09/2020;1133
64;865;27:59.12;Allister HUTTON;18/07/1954;GBR;5;;Aachen (GER);30/05/1986;1133
65;866;27:59.24;Shibrou REGASSA;14/07/1944;ETH;3;;Viareggio (ITA);03/08/1977;1133
66;866;27:59.24;Carl Edward THACKERY;14/10/1962;GBR;1;;Paris (FRA);16/07/1987;1133
67;868;27:59.30;Agunafr BEKELE;14/10/1995;ETH;13f7;;Machida (JPN);24/11/2018;1133
68;869;27:59.31;Takeshi SOH;09/01/1953;JPN;6;;Stockholm (SWE);03/07/1978;1133
69;869;27:59.31;Adam GOUCHER;18/02/1975;USA;7;;Eugene, OR (USA);04/07/2008;1133
70;871;27:59.33;Steve HARRIS;17/11/1961;GBR;3;;Paris (FRA);22/07/1986;1133
71;872;27:59.35;Shannon BUTLER;24/01/1967;USA;7;;Hengelo (NED);25/06/1991;1133
72;873;27:59.37;Jacob RILEY;11/02/1988;USA;14f1;;Palo Alto, CA (USA);02/05/2015;1133
73;874;27:59.39;Naoki MISHIRO;16/03/1977;JPN;5;;Sendai (JPN);07/10/2000;1133
74;875;27:59.45;Juan Antonio PÉREZ;06/11/1988;ESP;1f1;;Torrevieja (ESP);10/04/2021;1133
75;876;27:59.49;José Carlos ADÁN;22/07/1967;ESP;1;;Getxo (ESP);02/05/1993;1133
76;877;27:59.5;Stephen TUM;12/07/1986;KEN;3;;Casablanca (MAR);14/06/2009;1133
77;878;27:59.53;Samuel NGANGA;16/06/1986;KEN;2;;Fukuroi (JPN);14/10/2006;1133
78;879;27:59.59;Alex MWANGI MUNGWA;01/01/1984;KEN;2f1;;Fugokawa (JPN);17/06/2010;1132
79;879;27:59.59;Jack RAYNER;19/12/1995;AUS;10;;Nijmegen (NED);15/06/2019;1132
80;881;27:59.60;Douglas WAKIIHURI;26/09/1963;KEN;14;;Oslo (NOR);02/07/1988;1132
81;882;27:59.61;Samuel KABIRU;06/06/1983;KEN;5;;Kobe (JPN);28/04/2002;1132
82;883;27:59.64;Paul PATRICK;15/09/1971;AUS;1;;Melbourne (AUS);16/12/1993;1132
83;883;27:59.64;Kamel KOHIL;25/12/1971;ALG;15;;Bruxelles (BEL);25/08/2000;1132
84;885;27:59.70;Aaron RAMIREZ;29/07/1962;USA;2;;Walnut, CA (USA);20/04/1991;1132
85;886;27:59.72;Stephan FREIGANG;27/09/1967;GER;4;;Hengelo (NED);20/06/1993;1132
86;886;27:59.72;Ian DOBSON;06/02/1982;USA;5;;Palo Alto, CA (USA);01/05/2005;1132
87;886;27:59.72;Mitsunori ASAOKA;11/01/1993;JPN;4f1;;Abashiri (JPN);11/07/2016;1132
88;889;27:59.74;Ryuto IGAWA;05/09/2000;JPN;2;;NITTAIDAI Athletic Stadium, Yokohama (JPN);10/04/2021;1132
89;890;27:59.77;Kiyara KAMZEE;02/03/1980;KEN;11;;Blankers-Koen Stadion, Hengelo (NED);30/05/1999;1132
90;890;27:59.77;Michael SHELLEY;10/10/1983;AUS;9;;Berkeley, CA (USA);24/04/2009;1132
91;890;27:59.77;Abayneh DEGU;01/12/1998;ETH;14f7;;Machida (JPN);24/11/2018;1132
92;893;27:59.78;Yuki MATSUOKA;14/01/1986;JPN;5f1;;Fukuoka (JPN);21/09/2012;1132
93;894;27:59.8;Pavel ANDREYEV;01/01/1944;URS;2f1;;Moskva (URS);10/07/1973;1132
94;894;27:59.8;Rami TSEBE;07/10/1964;RSA;3;;Stellenbosch (RSA);05/10/1989;1132
95;896;27:59.80;Katsuhiro KAWAUCHI;09/03/1973;JPN;6;;Tokyo (JPN);10/06/1995;1132
96;897;27:59.86;Andrés ESPINOZA;04/02/1963;MEX;9;;Burnaby (CAN);31/05/1992;1132
97;898;27:59.88;Jon GREY;13/02/1988;USA;15f1;;Palo Alto, CA (USA);02/05/2015;1132
98;899;27:59.91;Charles CHERUIYOT TOROTICH;04/08/1988;KEN;5;;Hampden Park, Glasgow (GBR);01/08/2014;1132
99;900;27:59.95;Dan KIPLANGAT;04/06/1996;KEN;5f1;;Athletics Stadium, Fukagawa (JPN);08/07/2020;1132
0;901;27:59.97;Yuichi TAJIRI;23/05/1971;JPN;4;;Helsinki (FIN);29/06/1994;1132
1;902;28:00.01;Matthew LANE;05/09/1977;USA;12;;Palo Alto, CA (USA);30/04/2004;1132
2;903;28:00.1;Steven SEGO;01/01/1978;KEN;6;;Barakaldo (ESP);08/07/2000;1132
3;903;28:00.1;Moses Kimeli ARUSEI;01/01/1983;KEN;1;;Eldoret (KEN);03/06/2005;1132
4;905;28:00.14;Amedework WALELEGN;11/03/1999;ETH;4;;Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL);19/07/2016;1132
5;906;28:00.29;Tomohiro SETO;19/10/1976;JPN;9;;Kobe (JPN);24/04/2005;1131
6;907;28:00.33;Charles MULINGA;05/04/1968;ZAM;1;;Walnut, CA (USA);14/04/1995;1131
7;908;28:00.38;Jay MARDEN;22/03/1963;USA;5;;Walnut, CA (USA);23/04/1988;1131
8;909;28:00.43;Scott FAUBLE;05/11/1991;USA;3f1;;Palo Alto, CA (USA);01/04/2016;1131
9;910;28:00.47;Ivan PARLUY;19/04/1951;URS;2;;Warszawa (POL);19/08/1976;1131
10;911;28:00.49;Wataru TOCHIGI;08/05/1995;JPN;3;;NITTAIDAI Athletic Stadium, Yokohama (JPN);10/04/2021;1131
11;912;28:00.50;Andres JONES;03/02/1977;GBR;2;;Watford (GBR);22/07/2000;1131
12;913;28:00.6;Joshua KIMETO;17/03/1952;KEN;1;;Pietarsaari (FIN);07/08/1977;1131
13;914;28:00.62;James BROWN;13/09/1952;GBR;2;;London (GBR);01/08/1975;1131
14;915;28:00.64;Billy DEE;18/12/1961;GBR;7;;Bruxelles (BEL);13/09/1991;1131
15;915;28:00.64;Masashi NONAKA;10/11/1995;JPN;3;;Egao Kenko Stadium, Kumamoto (JPN);10/04/2021;1131
16;917;28:00.67;Mebuki SUZUKI;03/06/2001;JPN;4;;NITTAIDAI Athletic Stadium, Yokohama (JPN);10/04/2021;1131
17;918;28:00.69;James NDUNGU;30/04/1979;KEN;3;;Hachioji (JPN);24/11/2004;1131
18;919;28:00.71;José Manuel GARCÍA;24/01/1966;ESP;5;;Leiria (POR);07/04/1996;1131
19;920;28:00.72;Matthews BATSWADI;26/06/1949;RSA;1;;Port Elizabeth (RSA);11/04/1980;1131
20;921;28:00.73;Abderrazak BOUNOUR;11/01/1957;ALG;15;;Stockholm (SWE);02/07/1985;1131
21;921;28:00.73;Harri HÄNNINEN;18/10/1963;FIN;2;;Södertälje (SWE);07/06/1989;1131
22;923;28:00.82;Tomoya OGIKUBO;11/12/1997;JPN;5;;NITTAIDAI Athletic Stadium, Yokohama (JPN);10/04/2021;1131
23;924;28:00.9;Vadim MOCHALOV;06/01/1947;URS;3f1;;Moskva (URS);10/07/1973;1130
24;925;28:00.90;Leonid MOSEYEV;21/10/1952;URS;7;;Helsinki (FIN);29/06/1978;1130
25;926;28:01.0;Gerry CURTIS;18/05/1959;IRL;3;;Södertälje (SWE);07/06/1989;1130
26;927;28:01.02;Mark CURP;05/01/1959;USA;4;;Eugene, OR (USA);07/04/1984;1130
27;928;28:01.04;Carlos PATRICIO;09/01/1964;POR;7;;Leiria (POR);07/04/1996;1130
28;929;28:01.06;Sean KALEY;26/02/1975;CAN;6;;Palo Alto, CA (USA);05/05/2000;1130
29;930;28:01.10;Hailu MEKONNEN;04/04/1980;ETH;14;;Bruxelles (BEL);30/08/2002;1130
30;931;28:01.21;James WAINAINA;16/06/1981;KEN;1;;Shizuoka (JPN);14/10/2000;1130
31;932;28:01.23;Takeharu HONDA;24/04/1967;JPN;14;;Oslo (NOR);06/07/1991;1130
32;933;28:01.34;Samir MOUSSAOUI;15/05/1975;ALG;7;;Stockholm (SWE);30/07/1999;1130
33;934;28:01.4;Javier ALVAREZ;18/12/1943;ESP;1;;München (GER);03/09/1971;1130
34;935;28:01.48;Stephen MAYAKA;26/11/1972;KEN;6;;Osaka (JPN);08/06/1996;1130
35;936;28:01.53;Fabiano Nelson SULLE;01/10/1994;TAN;7f1;;Kobe (JPN);23/04/2016;1129
36;937;28:01.54;Alfredo BRÁS;26/12/1968;POR;8;;Leiria (POR);07/04/1996;1129
37;938;28:01.55;Michele GAMBA;02/10/1972;ITA;5;;Rovereto (ITA);30/08/2000;1129
38;939;28:01.63;Rui Pedro SILVA;06/05/1981;POR;2;;Ribeira Brava (POR);06/06/2009;1129
39;940;28:01.65;Vincenzo Massimo MODICA;02/03/1971;ITA;5;;Helsinki (FIN);29/06/1994;1129
40;941;28:01.70;Mustapha ESSAID;20/01/1970;FRA;10;;Villeneuve d'Ascq (FRA);25/05/1996;1129
41;942;28:01.71;Yuichiro UENO;29/07/1985;JPN;5;;Kobe (JPN);20/04/2014;1129
42;943;28:01.84;Miroslav VANKO;14/02/1973;SVK;6;;Blankers-Koen Stadion, Hengelo (NED);01/06/1998;1129
43;944;28:01.87;Johnson KIUMBANI;27/01/1993;KEN;3f2;;Ibaraki (JPN);18/05/2013;1129
44;945;28:01.88;Jean-Paul GOMEZ;08/05/1945;FRA;4;;München (GER);29/05/1976;1129
45;945;28:01.88;Zoltán KÁLDY;07/01/1969;HUN;15;;Oslo (NOR);06/07/1991;1129
46;947;28:01.93;Anatoliy RYBAKOV;27/02/1985;RUS;1;;Zhukovskiy (RUS);01/07/2017;1129
47;947;28:01.93;Yevgeniy RYBAKOV;27/02/1985;RUS;2;;Zhukovskiy (RUS);01/07/2017;1129
48;949;28:01.94;Hélder ORNELAS;06/05/1974;POR;2;;Barakaldo (ESP);07/04/2001;1129
49;950;28:01.98;Koichi MORISHITA;05/09/1967;JPN;3;;Kobe (JPN);03/05/1992;1129
50;951;28:02.0;Daniel Kirwa TOO;21/11/1976;KEN;4;;Nairobi (KEN);30/05/2008;1129
