Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
780,Mats ERIXON,19/03/1958,SWE,3,Firenze (ITA),25/05/1982,1137,24.0,1982,1980-1989,20-25,27:56:56,1676.56
781,Luke PUSKEDRA,08/02/1990,USA,8,"Hayward Field, Eugene, OR (USA)",22/06/2012,1137,22.0,2012,2010-2019,20-25,27:56:62,1676.62
782,Cyrus Gichobi NJUI,11/02/1986,KEN,8,Kobe (JPN),22/04/2007,1137,20.0,2007,2000-2009,20-25,27:56:63,1676.63
783,Simone ZANON,30/05/1975,ITA,10,Barakaldo (ESP),10/04/1999,1137,24.0,1999,1990-1999,20-25,27:56:65,1676.65
784,Robert KAJUGA,01/01/1985,RWA,14,"Olympic Stadium, London (GBR)",04/08/2012,1137,27.0,2012,2010-2019,26-30,27:56:67,1676.67
785,José GÓMEZ,19/03/1956,MEX,1,"Eugene, OR (USA)",04/06/1983,1137,27.0,1983,1980-1989,26-30,27:56:74,1676.74
785,Francesco BENNICI,03/10/1971,ITA,1,Palermo (ITA),12/05/1992,1137,22.0,1992,1990-1999,20-25,27:56:74,1676.74
787,Karel LISMONT,08/03/1949,BEL,3,München (GER),29/05/1976,1137,27.0,1976,1970-1979,26-30,27:56:75,1676.75
787,Ravil KASHAPOV,15/11/1956,URS,2,Leningrad (URS),11/06/1988,1137,32.0,1988,1980-1989,31-35,27:56:75,1676.75
789,Andrew BUMBALOUGH,14/03/1987,USA,13f1,"Palo Alto, CA (USA)",28/04/2013,1137,26.0,2013,2010-2019,26-30,27:56:78,1676.78
789,Yusuke NISHIYAMA,07/11/1994,JPN,6f3,Tajimi (JPN),09/10/2020,1137,26.0,2020,2020+,26-30,27:56:78,1676.78
791,Paul MCCLOY,06/11/1963,CAN,5,"Walnut, CA (USA)",26/04/1986,1137,23.0,1986,1980-1989,20-25,27:56:8,1676.8
792,Jonathan WYATT,20/12/1972,NZL,3,Inglewood (NZL),15/02/2003,1137,30.0,2003,2000-2009,26-30,27:56:80,1676.8
793,William KOECH,02/12/1961,KEN,2,Cairo (EGY),22/09/1991,1137,31.0,1991,1990-1999,31-35,27:56:86,1676.86
793,Atsushi SATO,08/05/1978,JPN,4,Niigata (JPN),25/09/2004,1137,26.0,2004,2000-2009,26-30,27:56:86,1676.86
795,Clint WELLS,02/05/1975,USA,7,"Palo Alto, CA (USA)",03/05/2002,1137,27.0,2002,2000-2009,26-30,27:56:90,1676.9
796,Gladwin Sibabalwe MZAZI,28/08/1988,RSA,2,Stellenbosch (RSA),25/04/2015,1137,27.0,2015,2010-2019,26-30,27:56:9,1676.9
797,Reid COOLSAET,29/07/1979,CAN,15,"Palo Alto, CA (USA)",29/04/2007,1137,28.0,2007,2000-2009,26-30,27:56:92,1676.92
798,Mogos SHUMAY,01/01/1997,ERI,8f1,"Palo Alto, CA (USA)",01/05/2016,1136,19.0,2016,2010-2019,0-19,27:56:98,1676.98
799,Richard JUMA,19/07/1945,KEN,3,Christchurch (NZL),25/01/1974,1136,29.0,1974,1970-1979,26-30,27:57:0,1677.0
800,Sakee OSAKI,18/08/1964,JPN,5,Tokyo (JPN),10/06/1995,1136,31.0,1995,1990-1999,31-35,27:57:02,1677.02
801,Martin TOROITICH,10/08/1983,UGA,5,Pergine Valsugana (ITA),12/07/2008,1136,25.0,2008,2000-2009,20-25,27:57:11,1677.11
802,Yuki MUTA,26/05/1993,JPN,1,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1136,28.0,2021,2020+,26-30,27:57:15,1677.15
803,Solomon WACHIRA,05/11/1976,KEN,3,Sendai (JPN),07/10/2000,1136,24.0,2000,2000-2009,20-25,27:57:19,1677.19
804,Andrew LEMONCELLO,12/10/1982,GBR,7,"Berkeley, CA (USA)",24/04/2009,1136,26.0,2009,2000-2009,26-30,27:57:23,1677.23
805,Andrew LLOYD,14/02/1959,AUS,1,Melbourne (AUS),12/12/1987,1136,29.0,1987,1980-1989,26-30,27:57:34,1677.34
805,Cuthbert NYASANGO,17/09/1982,ZIM,2,Avilés (ESP),28/07/2007,1136,25.0,2007,2000-2009,20-25,27:57:34,1677.34
807,Charles NDUNGU,20/02/1996,KEN,5f1,Kobe (JPN),23/04/2016,1136,20.0,2016,2010-2019,20-25,27:57:36,1677.36
807,Keijiro MOGI,21/10/1995,JPN,11f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1136,24.0,2020,2020+,20-25,27:57:36,1677.36
809,Enoch SKOSANA,20/02/1974,RSA,2,Port Elizabeth (RSA),22/02/1999,1136,25.0,1999,1990-1999,20-25,27:57:47,1677.47
810,Matthews TEMANE,14/12/1960,RSA,1,Stellenbosch (RSA),05/10/1989,1136,28.0,1989,1980-1989,26-30,27:57:5,1677.5
811,Cornelius LAMBREGTS,04/08/1958,NED,3,Aachen (GER),30/05/1986,1136,28.0,1986,1980-1989,26-30,27:57:53,1677.53
812,Ben CONNOR,17/10/1992,GBR,3f1,London (GBR),06/07/2019,1136,27.0,2019,2010-2019,26-30,27:57:60,1677.6
813,Axel KRIPPSCHOCK,05/02/1962,GDR,13,Oslo (NOR),02/07/1988,1135,26.0,1988,1980-1989,26-30,27:57:68,1677.68
814,Tekele FETINSA,13/12/1945,ETH,4,Moskva (URS),12/06/1980,1135,35.0,1980,1980-1989,31-35,27:57:7,1677.7
815,Mande BUSHENDICH,07/04/1997,UGA,8,Nijmegen (NED),15/06/2019,1135,22.0,2019,2010-2019,20-25,27:57:72,1677.72
816,Yoji YAMAGUCHI,12/06/1975,JPN,8,"Palo Alto, CA (USA)",03/05/2002,1135,26.0,2002,2000-2009,26-30,27:57:74,1677.74
817,Ian HAMER,18/04/1965,GBR,3,Bruxelles (BEL),13/09/1991,1135,26.0,1991,1990-1999,26-30,27:57:77,1677.77
818,Laban KAGIKA,17/07/1978,KEN,4,Sendai (JPN),07/10/2000,1135,22.0,2000,2000-2009,20-25,27:57:81,1677.81
819,Rodolfo GÓMEZ,30/10/1950,MEX,7,Oslo (NOR),09/07/1983,1135,33.0,1983,1980-1989,31-35,27:57:83,1677.83
820,Tendai CHIMUSASA,28/01/1971,ZIM,3,Hengelo (NED),20/06/1993,1135,22.0,1993,1990-1999,20-25,27:57:84,1677.84
821,Alberto JUZDADO,20/08/1966,ESP,4,Barakaldo (ESP),01/07/1998,1135,31.0,1998,1990-1999,31-35,27:57:85,1677.85
821,Hiroyuki ONO,03/10/1986,JPN,2f1,Abashiri (JPN),16/07/2015,1135,29.0,2015,2010-2019,26-30,27:57:85,1677.85
823,Girma BERHANU,19/07/1960,ETH,2,Bratislava (TCH),26/05/1984,1135,24.0,1984,1980-1989,20-25,27:57:89,1677.89
824,Henrik JØRGENSEN,10/10/1961,DEN,12,Stockholm (SWE),02/07/1985,1135,23.0,1985,1980-1989,20-25,27:57:98,1677.98
824,Henry KIPCHIRCHIR,31/05/1983,KEN,5,"Stadion Juliska, Praha (CZE)",27/06/2005,1135,22.0,2005,2000-2009,20-25,27:57:98,1677.98
826,Frank O'MARA,17/07/1960,IRL,1,"Walnut, CA (USA)",20/04/1991,1135,31.0,1991,1990-1999,31-35,27:58:01,1678.01
827,Brad HAUSER,28/03/1977,USA,9,"Palo Alto, CA (USA)",03/05/2002,1135,25.0,2002,2000-2009,20-25,27:58:02,1678.02
827,Charles NDIRANGU,08/02/1993,KEN,1f2,Kobe (JPN),21/04/2012,1135,19.0,2012,2010-2019,0-19,27:58:02,1678.02
829,Khoudir AGGOUNE,05/01/1981,ALG,4f1,St-Maur (FRA),06/06/2008,1135,27.0,2008,2000-2009,26-30,27:58:03,1678.03
829,Yuki IWAI,30/12/1982,JPN,4f1,Fugokawa (JPN),10/06/2009,1135,27.0,2009,2000-2009,26-30,27:58:03,1678.03
829,Stephen KIPROTICH,27/02/1989,UGA,1,Birmingham (GBR),25/06/2010,1135,21.0,2010,2010-2019,20-25,27:58:03,1678.03
832,Fred KOSGEI,14/04/1977,KEN,,St-Maur (FRA),16/06/2006,1135,29.0,2006,2000-2009,26-30,27:58:04,1678.04
833,Joseph GITAU,03/01/1988,KEN,3f1,Yamagata (JPN),26/09/2008,1135,21.0,2008,2000-2009,20-25,27:58:09,1678.09
834,Hicham BELLANI,15/09/1979,MAR,1,Rabat (MAR),11/07/2011,1135,32.0,2011,2010-2019,31-35,27:58:17,1678.17
834,Selemun KAHSAY,nan,ETH,18,Hengelo (NED),17/07/2019,1135,,2019,2010-2019,40+,27:58:17,1678.17
836,Yitwale KINDE,01/01/1991,ETH,11,Hengelo (NED),29/06/2016,1135,25.0,2016,2010-2019,20-25,27:58:22,1678.22
837,Edwin KURGAT,nan,KEN,2,"Hayward Field, Eugene, OR (USA)",02/04/2021,1134,,2021,2020+,40+,27:58:33,1678.33
838,Danijel KORICA,10/06/1945,YUG,4,Helsinki (FIN),10/08/1971,1134,26.0,1971,1970-1979,26-30,27:58:38,1678.38
839,Ken YOKOTE,27/04/1993,JPN,3f1,Abashiri (JPN),16/07/2015,1134,22.0,2015,2010-2019,20-25,27:58:40,1678.4
839,Tatsuya OIKE,18/05/1990,JPN,12f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1134,30.0,2020,2020+,26-30,27:58:40,1678.4
841,Gerard DONAKOWSKI,20/02/1960,USA,12,Oslo (NOR),05/07/1986,1134,26.0,1986,1980-1989,26-30,27:58:41,1678.41
841,Hosea Mwok MACHARINYANG,12/06/1986,KEN,1,Bilbao (ESP),23/06/2007,1134,21.0,2007,2000-2009,20-25,27:58:41,1678.41
843,Yudai OKAMOTO,29/12/1991,JPN,2,"Egao Kenko Stadium, Kumamoto (JPN)",10/04/2021,1134,30.0,2021,2020+,26-30,27:58:43,1678.43
844,Simon MALIBENG,28/08/1962,RSA,2,Port Elizabeth (RSA),12/12/1987,1134,25.0,1987,1980-1989,20-25,27:58:46,1678.46
845,Nozomi SAHO,06/03/1973,JPN,1,Kumamoto (JPN),04/04/1993,1134,20.0,1993,1990-1999,20-25,27:58:47,1678.47
846,Martin FAGAN,26/06/1983,IRL,8,"Berkeley, CA (USA)",24/04/2009,1134,26.0,2009,2000-2009,26-30,27:58:48,1678.48
847,Yohei IKEDA,22/06/1998,JPN,13f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1134,22.0,2020,2020+,20-25,27:58:52,1678.52
848,Stanley Kipkoech KEBENEI,06/11/1989,USA,8,"Palo Alto, CA (USA)",05/05/2017,1134,28.0,2017,2010-2019,26-30,27:58:56,1678.56
849,Joseph Kiptoo BIRECH,04/01/1984,KEN,3,New Delhi (IND),11/10/2010,1134,27.0,2010,2010-2019,26-30,27:58:58,1678.58
850,Mahieddine BELHADJ,20/01/1963,ALG,11,Bruxelles (BEL),03/09/1993,1134,30.0,1993,1990-1999,26-30,27:58:59,1678.59
851,Nikolay SVIRIDOV,06/07/1938,URS,1f1,Moskva (URS),10/07/1973,1134,35.0,1973,1970-1979,31-35,27:58:6,1678.6
852,Yuto AOKI,27/04/1997,JPN,14f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1134,23.0,2020,2020+,20-25,27:58:63,1678.63
853,Reid BUCHANAN,03/02/1993,USA,5,"Palo Alto, CA (USA)",02/05/2019,1134,26.0,2019,2010-2019,26-30,27:58:67,1678.67
854,Lars-Erik NILSSON,01/02/1961,SWE,4,Aachen (GER),30/05/1986,1134,25.0,1986,1980-1989,20-25,27:58:70,1678.7
855,Haruo URATA,09/03/1962,JPN,12,Oslo (NOR),06/07/1991,1134,29.0,1991,1990-1999,26-30,27:58:72,1678.72
856,Manuel Ángel PENAS,09/11/1977,ESP,3,Avilés (ESP),18/07/2009,1134,32.0,2009,2000-2009,31-35,27:58:76,1678.76
857,John NGENO,11/04/1953,KEN,1,Berlin (GER),26/08/1977,1134,24.0,1977,1970-1979,20-25,27:58:8,1678.8
858,Peter LANGAT,20/10/1998,KEN,4f1,Abashiri (JPN),22/07/2019,1134,21.0,2019,2010-2019,20-25,27:58:84,1678.84
859,Takuya FUJIKAWA,17/12/1992,JPN,4f6,Machida (JPN),24/11/2018,1134,26.0,2018,2010-2019,26-30,27:58:87,1678.87
860,Anatoliy BADRANKOV,02/04/1941,URS,1,Tashkent (UZB),03/11/1978,1134,37.0,1978,1970-1979,36-41,27:58:9,1678.9
861,Jackson GACHIURI,15/04/1977,KEN,4,Kobe (JPN),28/04/2002,1133,25.0,2002,2000-2009,20-25,27:58:93,1678.93
862,Brett ROBINSON,08/05/1991,AUS,9,Nijmegen (NED),15/06/2019,1133,28.0,2019,2010-2019,26-30,27:58:97,1678.97
863,Thom HUNT,17/03/1958,USA,5,"Walnut, CA (USA)",24/04/1982,1133,24.0,1982,1980-1989,20-25,27:59:1,1679.1
864,Mike FOPPEN,29/11/1996,NED,1,"Sportcomplex De Leidse Hout, Leiden (NED)",19/09/2020,1133,24.0,2020,2020+,20-25,27:59:10,1679.1
865,Allister HUTTON,18/07/1954,GBR,5,Aachen (GER),30/05/1986,1133,32.0,1986,1980-1989,31-35,27:59:12,1679.12
866,Shibrou REGASSA,14/07/1944,ETH,3,Viareggio (ITA),03/08/1977,1133,33.0,1977,1970-1979,31-35,27:59:24,1679.24
866,Carl Edward THACKERY,14/10/1962,GBR,1,Paris (FRA),16/07/1987,1133,25.0,1987,1980-1989,20-25,27:59:24,1679.24
868,Agunafr BEKELE,14/10/1995,ETH,13f7,Machida (JPN),24/11/2018,1133,23.0,2018,2010-2019,20-25,27:59:30,1679.3
869,Takeshi SOH,09/01/1953,JPN,6,Stockholm (SWE),03/07/1978,1133,25.0,1978,1970-1979,20-25,27:59:31,1679.31
869,Adam GOUCHER,18/02/1975,USA,7,"Eugene, OR (USA)",04/07/2008,1133,33.0,2008,2000-2009,31-35,27:59:31,1679.31
871,Steve HARRIS,17/11/1961,GBR,3,Paris (FRA),22/07/1986,1133,25.0,1986,1980-1989,20-25,27:59:33,1679.33
872,Shannon BUTLER,24/01/1967,USA,7,Hengelo (NED),25/06/1991,1133,24.0,1991,1990-1999,20-25,27:59:35,1679.35
873,Jacob RILEY,11/02/1988,USA,14f1,"Palo Alto, CA (USA)",02/05/2015,1133,26.0,2015,2010-2019,26-30,27:59:37,1679.37
874,Naoki MISHIRO,16/03/1977,JPN,5,Sendai (JPN),07/10/2000,1133,23.0,2000,2000-2009,20-25,27:59:39,1679.39
875,Juan Antonio PÉREZ,06/11/1988,ESP,1f1,Torrevieja (ESP),10/04/2021,1133,33.0,2021,2020+,31-35,27:59:45,1679.45
876,José Carlos ADÁN,22/07/1967,ESP,1,Getxo (ESP),02/05/1993,1133,26.0,1993,1990-1999,26-30,27:59:49,1679.49
877,Stephen TUM,12/07/1986,KEN,3,Casablanca (MAR),14/06/2009,1133,23.0,2009,2000-2009,20-25,27:59:5,1679.5
878,Samuel NGANGA,16/06/1986,KEN,2,Fukuroi (JPN),14/10/2006,1133,20.0,2006,2000-2009,20-25,27:59:53,1679.53
879,Alex MWANGI MUNGWA,01/01/1984,KEN,2f1,Fugokawa (JPN),17/06/2010,1132,26.0,2010,2010-2019,26-30,27:59:59,1679.59
879,Jack RAYNER,19/12/1995,AUS,10,Nijmegen (NED),15/06/2019,1132,23.0,2019,2010-2019,20-25,27:59:59,1679.59
881,Douglas WAKIIHURI,26/09/1963,KEN,14,Oslo (NOR),02/07/1988,1132,24.0,1988,1980-1989,20-25,27:59:60,1679.6
882,Samuel KABIRU,06/06/1983,KEN,5,Kobe (JPN),28/04/2002,1132,19.0,2002,2000-2009,0-19,27:59:61,1679.61
883,Paul PATRICK,15/09/1971,AUS,1,Melbourne (AUS),16/12/1993,1132,22.0,1993,1990-1999,20-25,27:59:64,1679.64
883,Kamel KOHIL,25/12/1971,ALG,15,Bruxelles (BEL),25/08/2000,1132,29.0,2000,2000-2009,26-30,27:59:64,1679.64
885,Aaron RAMIREZ,29/07/1962,USA,2,"Walnut, CA (USA)",20/04/1991,1132,29.0,1991,1990-1999,26-30,27:59:70,1679.7
886,Stephan FREIGANG,27/09/1967,GER,4,Hengelo (NED),20/06/1993,1132,26.0,1993,1990-1999,26-30,27:59:72,1679.72
886,Ian DOBSON,06/02/1982,USA,5,"Palo Alto, CA (USA)",01/05/2005,1132,23.0,2005,2000-2009,20-25,27:59:72,1679.72
886,Mitsunori ASAOKA,11/01/1993,JPN,4f1,Abashiri (JPN),11/07/2016,1132,23.0,2016,2010-2019,20-25,27:59:72,1679.72
889,Ryuto IGAWA,05/09/2000,JPN,2,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1132,21.0,2021,2020+,20-25,27:59:74,1679.74
890,Kiyara KAMZEE,02/03/1980,KEN,11,"Blankers-Koen Stadion, Hengelo (NED)",30/05/1999,1132,19.0,1999,1990-1999,0-19,27:59:77,1679.77
890,Michael SHELLEY,10/10/1983,AUS,9,"Berkeley, CA (USA)",24/04/2009,1132,26.0,2009,2000-2009,26-30,27:59:77,1679.77
890,Abayneh DEGU,01/12/1998,ETH,14f7,Machida (JPN),24/11/2018,1132,21.0,2018,2010-2019,20-25,27:59:77,1679.77
893,Yuki MATSUOKA,14/01/1986,JPN,5f1,Fukuoka (JPN),21/09/2012,1132,27.0,2012,2010-2019,26-30,27:59:78,1679.78
894,Pavel ANDREYEV,01/01/1944,URS,2f1,Moskva (URS),10/07/1973,1132,30.0,1973,1970-1979,26-30,27:59:8,1679.8
894,Rami TSEBE,07/10/1964,RSA,3,Stellenbosch (RSA),05/10/1989,1132,25.0,1989,1980-1989,20-25,27:59:8,1679.8
896,Katsuhiro KAWAUCHI,09/03/1973,JPN,6,Tokyo (JPN),10/06/1995,1132,22.0,1995,1990-1999,20-25,27:59:80,1679.8
897,Andrés ESPINOZA,04/02/1963,MEX,9,Burnaby (CAN),31/05/1992,1132,29.0,1992,1990-1999,26-30,27:59:86,1679.86
898,Jon GREY,13/02/1988,USA,15f1,"Palo Alto, CA (USA)",02/05/2015,1132,27.0,2015,2010-2019,26-30,27:59:88,1679.88
899,Charles CHERUIYOT TOROTICH,04/08/1988,KEN,5,"Hampden Park, Glasgow (GBR)",01/08/2014,1132,26.0,2014,2010-2019,26-30,27:59:91,1679.91
900,Dan KIPLANGAT,04/06/1996,KEN,5f1,"Athletics Stadium, Fukagawa (JPN)",08/07/2020,1132,24.0,2020,2020+,20-25,27:59:95,1679.95
901,Yuichi TAJIRI,23/05/1971,JPN,4,Helsinki (FIN),29/06/1994,1132,23.0,1994,1990-1999,20-25,27:59:97,1679.97
902,Matthew LANE,05/09/1977,USA,12,"Palo Alto, CA (USA)",30/04/2004,1132,27.0,2004,2000-2009,26-30,28:00:01,1680.01
903,Steven SEGO,01/01/1978,KEN,6,Barakaldo (ESP),08/07/2000,1132,23.0,2000,2000-2009,20-25,28:00:1,1680.1
903,Moses Kimeli ARUSEI,01/01/1983,KEN,1,Eldoret (KEN),03/06/2005,1132,22.0,2005,2000-2009,20-25,28:00:1,1680.1
905,Amedework WALELEGN,11/03/1999,ETH,4,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",19/07/2016,1132,17.0,2016,2010-2019,0-19,28:00:14,1680.14
906,Tomohiro SETO,19/10/1976,JPN,9,Kobe (JPN),24/04/2005,1131,29.0,2005,2000-2009,26-30,28:00:29,1680.29
907,Charles MULINGA,05/04/1968,ZAM,1,"Walnut, CA (USA)",14/04/1995,1131,27.0,1995,1990-1999,26-30,28:00:33,1680.33
908,Jay MARDEN,22/03/1963,USA,5,"Walnut, CA (USA)",23/04/1988,1131,25.0,1988,1980-1989,20-25,28:00:38,1680.38
909,Scott FAUBLE,05/11/1991,USA,3f1,"Palo Alto, CA (USA)",01/04/2016,1131,25.0,2016,2010-2019,20-25,28:00:43,1680.43
910,Ivan PARLUY,19/04/1951,URS,2,Warszawa (POL),19/08/1976,1131,25.0,1976,1970-1979,20-25,28:00:47,1680.47
911,Wataru TOCHIGI,08/05/1995,JPN,3,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1131,26.0,2021,2020+,26-30,28:00:49,1680.49
912,Andres JONES,03/02/1977,GBR,2,Watford (GBR),22/07/2000,1131,23.0,2000,2000-2009,20-25,28:00:50,1680.5
913,Joshua KIMETO,17/03/1952,KEN,1,Pietarsaari (FIN),07/08/1977,1131,25.0,1977,1970-1979,20-25,28:00:6,1680.6
914,James BROWN,13/09/1952,GBR,2,London (GBR),01/08/1975,1131,22.0,1975,1970-1979,20-25,28:00:62,1680.62
915,Billy DEE,18/12/1961,GBR,7,Bruxelles (BEL),13/09/1991,1131,30.0,1991,1990-1999,26-30,28:00:64,1680.64
915,Masashi NONAKA,10/11/1995,JPN,3,"Egao Kenko Stadium, Kumamoto (JPN)",10/04/2021,1131,26.0,2021,2020+,26-30,28:00:64,1680.64
917,Mebuki SUZUKI,03/06/2001,JPN,4,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1131,21.0,2021,2020+,20-25,28:00:67,1680.67
918,James NDUNGU,30/04/1979,KEN,3,Hachioji (JPN),24/11/2004,1131,26.0,2004,2000-2009,26-30,28:00:69,1680.69
919,José Manuel GARCÍA,24/01/1966,ESP,5,Leiria (POR),07/04/1996,1131,30.0,1996,1990-1999,26-30,28:00:71,1680.71
920,Matthews BATSWADI,26/06/1949,RSA,1,Port Elizabeth (RSA),11/04/1980,1131,31.0,1980,1980-1989,31-35,28:00:72,1680.72
921,Abderrazak BOUNOUR,11/01/1957,ALG,15,Stockholm (SWE),02/07/1985,1131,27.0,1985,1980-1989,26-30,28:00:73,1680.73
921,Harri HÄNNINEN,18/10/1963,FIN,2,Södertälje (SWE),07/06/1989,1131,26.0,1989,1980-1989,26-30,28:00:73,1680.73
923,Tomoya OGIKUBO,11/12/1997,JPN,5,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1131,24.0,2021,2020+,20-25,28:00:82,1680.82
924,Vadim MOCHALOV,06/01/1947,URS,3f1,Moskva (URS),10/07/1973,1130,26.0,1973,1970-1979,26-30,28:00:9,1680.9
925,Leonid MOSEYEV,21/10/1952,URS,7,Helsinki (FIN),29/06/1978,1130,26.0,1978,1970-1979,26-30,28:00:90,1680.9
926,Gerry CURTIS,18/05/1959,IRL,3,Södertälje (SWE),07/06/1989,1130,30.0,1989,1980-1989,26-30,28:01:0,1681.0
927,Mark CURP,05/01/1959,USA,4,"Eugene, OR (USA)",07/04/1984,1130,25.0,1984,1980-1989,20-25,28:01:02,1681.02
928,Carlos PATRICIO,09/01/1964,POR,7,Leiria (POR),07/04/1996,1130,32.0,1996,1990-1999,31-35,28:01:04,1681.04
929,Sean KALEY,26/02/1975,CAN,6,"Palo Alto, CA (USA)",05/05/2000,1130,25.0,2000,2000-2009,20-25,28:01:06,1681.06
930,Hailu MEKONNEN,04/04/1980,ETH,14,Bruxelles (BEL),30/08/2002,1130,22.0,2002,2000-2009,20-25,28:01:10,1681.1
931,James WAINAINA,16/06/1981,KEN,1,Shizuoka (JPN),14/10/2000,1130,19.0,2000,2000-2009,0-19,28:01:21,1681.21
932,Takeharu HONDA,24/04/1967,JPN,14,Oslo (NOR),06/07/1991,1130,24.0,1991,1990-1999,20-25,28:01:23,1681.23
933,Samir MOUSSAOUI,15/05/1975,ALG,7,Stockholm (SWE),30/07/1999,1130,24.0,1999,1990-1999,20-25,28:01:34,1681.34
934,Javier ALVAREZ,18/12/1943,ESP,1,München (GER),03/09/1971,1130,27.0,1971,1970-1979,26-30,28:01:4,1681.4
935,Stephen MAYAKA,26/11/1972,KEN,6,Osaka (JPN),08/06/1996,1130,24.0,1996,1990-1999,20-25,28:01:48,1681.48
936,Fabiano Nelson SULLE,01/10/1994,TAN,7f1,Kobe (JPN),23/04/2016,1129,22.0,2016,2010-2019,20-25,28:01:53,1681.53
937,Alfredo BRÁS,26/12/1968,POR,8,Leiria (POR),07/04/1996,1129,28.0,1996,1990-1999,26-30,28:01:54,1681.54
938,Michele GAMBA,02/10/1972,ITA,5,Rovereto (ITA),30/08/2000,1129,29.0,2000,2000-2009,26-30,28:01:55,1681.55
939,Rui Pedro SILVA,06/05/1981,POR,2,Ribeira Brava (POR),06/06/2009,1129,28.0,2009,2000-2009,26-30,28:01:63,1681.63
940,Vincenzo Massimo MODICA,02/03/1971,ITA,5,Helsinki (FIN),29/06/1994,1129,23.0,1994,1990-1999,20-25,28:01:65,1681.65
941,Mustapha ESSAID,20/01/1970,FRA,10,Villeneuve d'Ascq (FRA),25/05/1996,1129,26.0,1996,1990-1999,26-30,28:01:70,1681.7
942,Yuichiro UENO,29/07/1985,JPN,5,Kobe (JPN),20/04/2014,1129,29.0,2014,2010-2019,26-30,28:01:71,1681.71
943,Miroslav VANKO,14/02/1973,SVK,6,"Blankers-Koen Stadion, Hengelo (NED)",01/06/1998,1129,25.0,1998,1990-1999,20-25,28:01:84,1681.84
944,Johnson KIUMBANI,27/01/1993,KEN,3f2,Ibaraki (JPN),18/05/2013,1129,20.0,2013,2010-2019,20-25,28:01:87,1681.87
945,Jean-Paul GOMEZ,08/05/1945,FRA,4,München (GER),29/05/1976,1129,31.0,1976,1970-1979,31-35,28:01:88,1681.88
945,Zoltán KÁLDY,07/01/1969,HUN,15,Oslo (NOR),06/07/1991,1129,22.0,1991,1990-1999,20-25,28:01:88,1681.88
947,Anatoliy RYBAKOV,27/02/1985,RUS,1,Zhukovskiy (RUS),01/07/2017,1129,32.0,2017,2010-2019,31-35,28:01:93,1681.93
947,Yevgeniy RYBAKOV,27/02/1985,RUS,2,Zhukovskiy (RUS),01/07/2017,1129,32.0,2017,2010-2019,31-35,28:01:93,1681.93
949,Hélder ORNELAS,06/05/1974,POR,2,Barakaldo (ESP),07/04/2001,1129,27.0,2001,2000-2009,26-30,28:01:94,1681.94
950,Koichi MORISHITA,05/09/1967,JPN,3,Kobe (JPN),03/05/1992,1129,25.0,1992,1990-1999,20-25,28:01:98,1681.98
951,Daniel Kirwa TOO,21/11/1976,KEN,4,Nairobi (KEN),30/05/2008,1129,32.0,2008,2000-2009,31-35,28:02:0,1682.0
952,Aadam Ismaeel KHAMIS,12/02/1989,BRN,3,Doha (QAT),09/12/2006,1129,17.0,2006,2000-2009,0-19,28:02:08,1682.08
953,Antonio PENA,26/08/1970,ESP,7,Barakaldo (ESP),08/07/2000,1129,30.0,2000,2000-2009,26-30,28:02:1,1682.1
954,Rafael MARQUES,12/07/1957,POR,3,Lisboa (POR),30/05/1981,1128,23.0,1981,1980-1989,20-25,28:02:2,1682.2
955,Stéphane SCHWEICKHARDT,14/09/1960,SUI,13,Lisboa (POR),04/04/1998,1128,38.0,1998,1990-1999,36-41,28:02:32,1682.32
956,Mike DONNELLY,02/01/1975,USA,9,"Palo Alto, CA (USA)",02/05/2003,1128,28.0,2003,2000-2009,26-30,28:02:34,1682.34
957,Ralf SALZMANN,06/02/1955,FRG,4,Villeneuve d'Ascq (FRA),27/06/1988,1128,33.0,1988,1980-1989,31-35,28:02:37,1682.37
958,José REGALO,22/11/1963,POR,1,Lisboa (POR),23/04/1988,1128,24.0,1988,1980-1989,20-25,28:02:4,1682.4
959,Dan HENDERSON,26/06/1958,USA,4,"Eugene, OR (USA)",21/07/1984,1128,26.0,1984,1980-1989,26-30,28:02:41,1682.41
960,Dan NELSON,15/05/1964,USA,3,"Eugene, OR (USA)",18/06/1993,1128,29.0,1993,1990-1999,26-30,28:02:44,1682.44
961,Pedro ARCO,07/07/1964,ESP,9,Leiria (POR),07/04/1996,1128,32.0,1996,1990-1999,31-35,28:02:46,1682.46
961,Yufu IKUTO,07/07/1991,JPN,5f1,Fukagawa (JPN),25/06/2011,1128,20.0,2011,2010-2019,20-25,28:02:46,1682.46
